اسم السيارة,موديل السيارة,سعر السيارة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,حالة الإعلان,تاريخ نشر الإعلان,تاريخ إنتهاء الإعلان,Number_of_Additions,فتحة السقف,الدفع
فولكسفاجن جولف,موديل سنة 1982,4000 شيكل,خمري,بنزين,تأجير,فلسطينية,عادي,الكتروني,1300,,,نقدا فقط,للبيع فقط,,,إعلان منتهي,2017-09-06,2017-09-21,0.0,0.0,
هونداي توسان,موديل سنة 2008,66000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121000,5+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-06,2017-09-21,6.0,1.0,
هونداي اكسنت,موديل سنة 2015,68000 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,9900,,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-06,2017-09-21,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,موديل سنة 2016,95000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,56000,4+1,إمكانية التقسيط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-07,2017-10-07,6.0,0.0,
رينو R9,موديل سنة 1983,7000 شيكل,كحلي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,4+1,إمكانية التقسيط,للبيع فقط,,,إعلان منتهي,2017-09-07,2017-09-22,0.0,0.0,
بيجو بارتنر,موديل سنة 2011,57000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٦٠,٤+١,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-07,2017-10-07,6.0,0.0,
بيجو 305,موديل سنة 1984,7500 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,00000,4+1,نقدا فقط,للبيع فقط,0000,مسجل CDفرش جلد,إعلان منتهي,2017-09-09,2017-10-24,2.0,0.0,
ستروين كسارا,موديل سنة 2000,1900 شيكل,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,0000,5+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,6.0,0.0,
هونداي كليك,موديل سنة 2007,42000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80 الف,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,5.0,0.0,
بي ام دبليو 520,موديل سنة 1994,25000 شيكل,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000,4+1,إمكانية التقسيط,للبيع فقط,5,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,7.0,1.0,
هونداي i25,موديل سنة 2014,60000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60,4+١,نقدا فقط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,7.0,0.0,
بيجو 307,موديل سنة 2007,38500 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,5,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
هونداي i30,موديل سنة 2008,55000 شيكل,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,7.0,0.0,
فولكسفاجن CC,موديل سنة 2010,87000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,120000قابل لزيادة,5+1,إمكانية التقسيط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,7.0,1.0,
كيا سورينتو,موديل سنة 2013,120000 شيكل,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,100000,6+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2017-09-09,2017-10-09,6.0,0.0,
دايو ماتيز,موديل سنة 2002,22000 شيكل,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,90000,4+1,نقدا فقط,للبيع أو التبديل,3,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,5.0,0.0,
مرسيدس 220,موديل سنة 1997,30000 شيكل,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,220,,١+٤,إمكانية التقسيط,للبيع فقط,,إغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2017-09-09,2017-10-09,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فولفو FH 12,موديل سنة 2001,190000 شيكل,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,420,,,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-09,2017-10-09,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن باسات,موديل سنة 2000,36000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-25,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
شفروليه اوبترا,موديل سنة 2007,28000 شيكل,ذهبي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,4.0,0.0,
هونداي كليك,موديل سنة 2008,42000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,000000,4+1,نقدا فقط,للبيع أو التبديل,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,7.0,1.0,
كيا فورتي,موديل سنة 2009,44500 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,99,4+1,نقدا فقط,للبيع أو التبديل,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,7.0,1.0,
اوبل أوميغا,موديل سنة 1997,33000 شيكل,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,200000,4+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,7.0,1.0,
كيا فورتي,موديل سنة 2008,59500 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,82000,4+1,نقدا فقط,للبيع أو التبديل,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,7.0,1.0,
كيا ريو,موديل سنة 2007,3800 شيكل,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,32123123,4+1,إمكانية التقسيط,للبيع فقط,رابعه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-10,2017-10-10,6.0,0.0,
اوبل استرا,موديل سنة 1999,28500 شيكل,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,120 الف,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-11,2017-10-11,4.0,0.0,
سكودا اوكتافيا,موديل سنة 2009,55000 شيكل,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,000000,4+1,إمكانية التقسيط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-11,2017-10-11,7.0,0.0,
هونداي الانترا,موديل سنة 2006,30000 شيكل,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1999,,,إمكانية التقسيط,للبيع فقط,,مُكيّفمسجل CDفتحة سقف,إعلان منتهي,2017-09-11,2017-10-11,2.0,1.0,
فولكسفاجن باسات,موديل سنة 1998,38000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,166000,4+1,نقدا فقط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-11,2017-10-11,6.0,0.0,
سكودا اوكتافيا,موديل سنة 2007,50000 شيكل,فيراني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,275000,4+1,نقدا فقط,للبيع أو التبديل,يد ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-11,2017-10-11,7.0,0.0,
رينو R5,موديل سنة 1988,14500 شيكل,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع فقط,,إغلاق مركزيجنطات مغنيسيوم,إعلان منتهي,2017-09-18,2017-10-18,2.0,0.0,
هونداي اكسنت,موديل سنة 2013,67000 شيكل,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-11,2017-10-26,7.0,0.0,
اوبل كورسا,موديل سنة 2013,54000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-11,2017-10-11,5.0,0.0,
مازدا 6,موديل سنة 2015,170000 شيكل,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,50000,4+1,نقدا فقط,للبيع فقط,يد أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-12,2017-10-12,7.0,1.0,
دايو ليجانزا,موديل سنة 1999,23000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,,,إعلان منتهي,2017-09-12,2017-10-12,0.0,0.0,
كيا سبورتاج,موديل سنة 2011,89500 شيكل,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,82700,,نقدا فقط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-12,2017-10-12,7.0,0.0,
سكودا اوكتافيا,موديل سنة 2008,60000 شيكل,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-12,2017-10-12,5.0,0.0,
فولكسفاجن طوارق,موديل سنة 2008,130000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,123000,4+1,نقدا فقط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-12,2017-10-12,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,موديل سنة 2010,78000 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,120000,4+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-12,2017-10-12,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,موديل سنة 2008,63000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,500000,4+1,نقدا فقط,للبيع فقط,4,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-13,2017-10-13,5.0,0.0,
ايسوزو تروبر,موديل سنة 1999,59000 شيكل,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3000,18000000,6+1,إمكانية التقسيط,للبيع أو التبديل,5,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-13,2017-10-14,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
هونداي جيتس,موديل سنة 2008,41000 شيكل,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٥٠,٤+١,نقدا فقط,للبيع أو التبديل,٤,إغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-09-13,2017-10-13,5.0,0.0,
اوبل اسكونا,موديل سنة 1984,11000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,100000,4+1,نقدا فقط,للبيع فقط,4,,إعلان منتهي,2017-09-13,2017-10-13,0.0,0.0,
سكودا اوكتافيا,موديل سنة 2007,60500 شيكل,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,إمكانية التقسيط,للبيع فقط,,جهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-09-13,2017-10-13,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سانغ يونغ Sym,موديل سنة 2013,5000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-16,2017-10-15,7.0,1.0,
